id,publicaddress,caseNumber,precinct,reportedDate,reportedDateTime,offense,description,centerLong,centerLat,centerX,centerY,neighborhood
2,BLAISDELL AVE / 26TH ST W,MP202337360,5,2023/02/15 00:00:00+00,2023/02/15 12:57:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27964,44.95553,-10383841.88,5614523.862,Whittier
5,0026XX GIRARD AVE N,MP202346685,4,2023/02/26 00:00:00+00,2023/02/26 15:23:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29683,45.00686,-10385756.02,5622602.05,Jordan
12,0020XX CENTRAL AVE NE,MP202347923,2,2023/02/27 00:00:00+00,2023/02/27 21:43:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24737,45.00939,-10380249.37,5622999.848,Windom Park
14,0030XX 29TH AVE S,MP202348059,3,2023/02/28 00:00:00+00,2023/02/28 03:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23,44.94761,-10378316.53,5613277.544,Longfellow
16,0057XX BLAISDELL AVE,MP202348108,5,2023/02/28 00:00:00+00,2023/02/28 09:07:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27937,44.89877,-10383812.49,5605599.538,Windom
18,0040XX OAKLAND AVE,MP202348138,3,2023/02/28 00:00:00+00,2023/02/28 08:05:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26628,44.92965,-10382355.15,5610453.011,Bryant
20,0040XX 43RD AVE S,MP202348146,3,2023/02/28 00:00:00+00,2023/02/28 08:23:00+00,AUTOTH,AUTOMOBILE THEFT,-93.21149,44.92974,-10376255.07,5610467.16,Hiawatha
21,0041XX 11TH AVE S,MP202348147,3,2023/02/28 00:00:00+00,2023/02/28 08:32:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25873,44.92784,-10381513.92,5610167.987,Bancroft
22,25TH ST W / GIRARD AVE S,MP202348154,5,2023/02/28 00:00:00+00,2023/02/28 15:46:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29694,44.95734,-10385767.3,5614807.922,East Isles
23,0022XX POLK ST NE,MP202348168,2,2023/02/28 00:00:00+00,2023/02/28 08:40:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24558,45.01039,-10380050.34,5623157.218,Windom Park
24,0024XX 1ST AVE S,MP202348228,5,2023/02/28 00:00:00+00,2023/02/28 09:59:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27656,44.95826,-10383498.88,5614952.452,Whittier
25,0024XX LYNDALE AVE S,MP202348242,5,2023/02/28 00:00:00+00,2023/02/28 15:57:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28803,44.95823,-10384775.89,5614948.153,Whittier
26,8TH ST S / 20TH AVE S,MP202348255,1,2023/02/28 00:00:00+00,2023/02/28 10:38:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24409,44.9653,-10379884.35,5616060.75,Cedar Riverside
30,0014XX PLYMOUTH AVE N,MP202348342,4,2023/02/28 00:00:00+00,2023/02/28 13:37:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29883,44.9915,-10385978.11,5620183.312,Near - North
31,0007XX 20TH AVE S,MP202348395,1,2023/02/28 00:00:00+00,2023/02/28 13:38:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24408,44.96596,-10379884.06,5616164.032,Cedar Riverside
32,32ND ST W / PLEASANT AVE,MP202348405,5,2023/02/28 00:00:00+00,2023/02/28 16:24:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28304,44.94474,-10384220.16,5612825.454,Lyndale
34,0041XX 31ST ST E,MP202348438,3,2023/02/28 00:00:00+00,2023/02/28 14:03:00+00,AUTOTH,AUTOMOBILE THEFT,-93.21337,44.94682,-10376464.46,5613152.889,Cooper
36,0026XX CENTRAL AVE NE,MP202348468,2,2023/02/28 00:00:00+00,2023/02/28 14:51:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24734,45.01587,-10380246.43,5624019.995,Holland
39,0018XX 3RD AVE S,MP202348514,5,2023/02/28 00:00:00+00,2023/02/28 16:14:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27276,44.96458,-10383075.76,5615947.797,Steven's Square - Loring Heights
44,0005XX 14TH AVE SE,MP202348639,2,2023/02/28 00:00:00+00,2023/02/28 20:19:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23461,44.98196,-10378828.82,5618682.534,Marcy Holmes
45,0023XX JACKSON ST NE,MP202348643,2,2023/02/28 00:00:00+00,2023/02/28 18:38:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24913,45.01152,-10380445.4,5623335.449,Holland
46,0030XX EXCELSIOR BLVD,MP202348662,5,2023/02/28 00:00:00+00,2023/02/28 22:34:00+00,AUTOTH,AUTOMOBILE THEFT,-93.31925,44.94795,-10388251.76,5613331.227,West Maka Ska
47,28TH ST E / CHICAGO AVE,MP202348688,3,2023/02/28 00:00:00+00,2023/02/28 19:07:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26264,44.95195,-10381949.15,5613959.564,Midtown Phillips
48,0031XX ELLIOT AVE,MP202348695,3,2023/02/28 00:00:00+00,2023/02/28 18:20:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26137,44.94564,-10381808.09,5612967.332,Powderhorn Park
50,ONTARIO AVE / ALDRICH AVE N,MP202348795,5,2023/02/28 00:00:00+00,2023/02/28 21:47:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28928,44.97302,-10384914.59,5617274.808,Lowry Hill
52,0009XX UPTON AVE N,MP202348806,4,2023/02/28 00:00:00+00,2023/02/28 21:00:00+00,AUTOTH,AUTOMOBILE THEFT,-93.31466,44.98702,-10387740.39,5619478.181,Willard - Hay
56,0010XX UPTON AVE N,MP202348847,4,2023/02/28 00:00:00+00,2023/02/28 23:17:00+00,AUTOTH,AUTOMOBILE THEFT,-93.31465,44.98845,-10387739.31,5619704.128,Willard - Hay
57,0028XX HUMBOLDT AVE N,MP202348882,4,2023/02/28 00:00:00+00,2023/02/28 22:50:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29811,45.00867,-10385897.6,5622886.838,Jordan
59,0024XX 16TH AVE S,MP202348972,3,2023/03/01 00:00:00+00,2023/03/01 03:53:00+00,AUTOTH,AUTOMOBILE THEFT,-93.25114,44.95824,-10380669.43,5614948.863,East Phillips
